GISID,mapId,mapcoords_,mapcoords1,Colony
33085,497290,166.6996169,-77.65796535,Turks Head Tryggve
33086,497338,166.7768645,-77.7484502,Turtle Rock
33143,499037,166.7575526,-77.7484502,Turtle Rock
33173,499575,166.8348003,-77.72657464,Hutton Cliffs
33175,499606,166.6996169,-77.66071696,Turks Head Tryggve
33189,499988,166.7768645,-77.74025137,Turtle Rock
33195,500289,166.892736,-77.70191867,South Base
33196,500300,166.7575526,-77.74025137,Turtle Rock
33198,500424,166.7768645,-77.74298491,Turtle Rock
33200,500442,166.7961764,-77.74571786,Turtle Rock
33216,500943,166.892736,-77.70740199,South Base
33217,500949,166.8541122,-77.7238375,Hutton Cliffs
33253,501662,166.6996169,-77.66346796,Turks Head Tryggve
33277,502223,166.8348003,-77.73204714,Hutton Cliffs
33282,502397,166.7189288,-77.66071696,Turks Head Tryggve
33285,502452,166.9120479,-77.70191867,South Base
33295,502569,166.680305,-77.65246032,Turks Head Tryggve
33300,502762,166.892736,-77.71014274,South Base
33331,503316,166.7382407,-77.66621836,Turks Head Tryggve
33347,503950,166.7189288,-77.65796535,Turks Head Tryggve
33385,504724,166.8348003,-77.73751723,Hutton Cliffs
33390,504784,166.7382407,-77.74298491,Turtle Rock
33391,504789,166.8154883,-77.66621836,Turks Head Tryggve
33394,504821,166.7961764,-77.7484502,Turtle Rock
33404,505009,166.680305,-77.65796535,Turks Head Tryggve
33417,505296,166.7382407,-77.66896816,Turks Head Tryggve
33425,505384,166.7961764,-77.74298491,Turtle Rock
33430,505513,166.7575526,-77.74571786,Turtle Rock
33434,505542,166.7575526,-77.74298491,Turtle Rock
33438,505567,166.7768645,-77.66621836,Turks Head Tryggve
33439,505587,166.8348003,-77.72931119,Hutton Cliffs
33451,505947,166.7382407,-77.66346796,Turks Head Tryggve
33467,506403,166.7961764,-77.66346796,Turks Head Tryggve
33477,506563,166.6996169,-77.65521314,Turks Head Tryggve
33481,506634,166.7382407,-77.66071696,Turks Head Tryggve
33490,506830,166.8154883,-77.66346796,Turks Head Tryggve
33493,506887,166.7768645,-77.74571786,Turtle Rock
39327,617590,166.4354441,-77.66819309,Little Razorback
39329,617594,166.8216822,-77.66819309,Turks Head Tryggve
39332,617601,166.5126917,-77.66819309,Little Razorback
39336,617609,166.3388846,-77.68468022,Tent Island
39337,617613,166.7637465,-77.67094246,Turks Head Tryggve
39348,617668,166.454756,-77.67094246,Little Razorback
39352,617685,166.454756,-77.68468022,Big Razorback
39359,617724,166.7830584,-77.74768006,Turtle Rock
39363,617740,166.3775084,-77.68468022,Tent Island
39364,617754,166.8409941,-77.72580314,Hutton Cliffs
39365,617757,166.3968203,-77.69291564,Tent Island
39373,617819,166.3195727,-77.65994138,Inaccessible Island
39375,617832,166.8989298,-77.70114564,South Base
39376,617841,166.5126917,-77.68193387,Big Razorback
39381,617860,166.3388846,-77.66544313,Inaccessible Island
39395,617943,166.4740679,-77.68468022,Big Razorback
39397,617951,166.454756,-77.66819309,Little Razorback
39401,617963,166.3581965,-77.69565958,Tent Island
39402,617966,166.7637465,-77.66819309,Turks Head Tryggve
39404,617971,166.7058108,-77.65994138,Turks Head Tryggve
39411,618025,166.454756,-77.66269256,Little Razorback
39435,618156,166.454756,-77.67918692,Big Razorback
39442,618187,166.3775084,-77.66269256,Inaccessible Island
39444,618191,166.5126917,-77.67643937,Big Razorback
39449,618217,166.8796179,-77.70388777,South Base
39450,618223,166.3581965,-77.65443722,Inaccessible Island
39451,618229,166.7058108,-77.6571896,Turks Head Tryggve
39461,618278,166.5320036,-77.68193387,Big Razorback
39466,618292,166.3775084,-77.68193387,Tent Island
39472,618309,166.7444346,-77.6571896,Turks Head Tryggve
39473,618315,166.4740679,-77.66819309,Little Razorback
39476,618323,166.8409941,-77.72853986,Hutton Cliffs
39478,618328,166.4933798,-77.66269256,Little Razorback
39482,618348,166.7251227,-77.66544313,Turks Head Tryggve
39484,618352,166.3388846,-77.67643937,Tent Island
39492,618384,166.8409941,-77.7367464,Hutton Cliffs
39507,618461,166.8023703,-77.66544313,Turks Head Tryggve
39508,618469,166.5320036,-77.67918692,Big Razorback
39511,618487,166.7444346,-77.65994138,Turks Head Tryggve
39513,618494,166.7251227,-77.66819309,Turks Head Tryggve
39523,618520,166.3581965,-77.65994138,Inaccessible Island
39549,618651,166.3388846,-77.65443722,Inaccessible Island
39553,618683,166.3581965,-77.68193387,Tent Island
39557,618699,166.4933798,-77.67369121,Little Razorback
39560,618707,166.8216822,-77.67094246,Turks Head Tryggve
39562,618727,166.5126917,-77.66269256,Little Razorback
39563,618729,166.3581965,-77.68742596,Tent Island
39564,618731,166.454756,-77.67643937,Big Razorback
39572,618787,166.3968203,-77.68468022,Tent Island
39575,618805,166.7830584,-77.66544313,Turks Head Tryggve
39582,618846,166.4933798,-77.68193387,Big Razorback
39589,618880,166.4354441,-77.65994138,Little Razorback
39592,618886,166.5320036,-77.66819309,Little Razorback
39596,618897,166.3581965,-77.67369121,Tent Island
39600,618912,166.7637465,-77.74221443,Turtle Rock
39612,618961,166.860306,-77.72032791,Hutton Cliffs
39622,619002,166.7830584,-77.73948072,Turtle Rock
39627,619040,166.454756,-77.66544313,Little Razorback
39631,619052,166.4740679,-77.67643937,Big Razorback
39637,619076,166.7444346,-77.74768006,Turtle Rock
39646,619104,166.860306,-77.72580314,Hutton Cliffs
39654,619164,166.454756,-77.65994138,Little Razorback
39655,619166,166.8023703,-77.67094246,Turks Head Tryggve
39665,619222,166.4933798,-77.67643937,Big Razorback
39671,619249,166.8216822,-77.66269256,Turks Head Tryggve
39673,619252,166.7444346,-77.74494754,Turtle Rock
39676,619259,166.4740679,-77.65994138,Little Razorback
39683,619311,166.5320036,-77.66544313,Little Razorback
39689,619332,166.6864989,-77.65994138,Turks Head Tryggve
39692,619344,166.3388846,-77.66819309,Inaccessible Island
39694,619347,166.7251227,-77.65994138,Turks Head Tryggve
39704,619372,166.454756,-77.68193387,Big Razorback
39709,619391,166.4740679,-77.68742596,Big Razorback
39710,619396,166.8796179,-77.71758939,Hutton Cliffs
39714,619423,166.7830584,-77.66819309,Turks Head Tryggve
39717,619432,166.3388846,-77.68742596,Tent Island
39719,619437,166.3581965,-77.69291564,Tent Island
39721,619440,166.8216822,-77.66544313,Turks Head Tryggve
39723,619449,166.7444346,-77.66544313,Turks Head Tryggve
39724,619453,166.3195727,-77.6571896,Inaccessible Island
39726,619460,166.5320036,-77.67094246,Little Razorback
39730,619491,166.3388846,-77.66269256,Inaccessible Island
39733,619505,166.3388846,-77.6901711,Tent Island
39734,619517,166.3968203,-77.6571896,Inaccessible Island
39743,619555,166.3581965,-77.67643937,Tent Island
39755,619604,166.3388846,-77.67369121,Tent Island
39764,619683,166.454756,-77.67369121,Big Razorback
39767,619688,166.3195727,-77.66544313,Inaccessible Island
39775,619709,166.7444346,-77.66269256,Turks Head Tryggve
39780,619736,166.3968203,-77.66269256,Inaccessible Island
39784,619746,166.4740679,-77.67094246,Little Razorback
39786,619775,166.4354441,-77.66544313,Little Razorback
39787,619781,166.4933798,-77.67094246,Little Razorback
39795,619820,166.8989298,-77.7066293,South Base
39800,619849,166.8409941,-77.73127598,Hutton Cliffs
39808,619876,166.7830584,-77.74221443,Turtle Rock
39818,619920,166.4740679,-77.66269256,Little Razorback
39834,619984,166.7058108,-77.66269256,Turks Head Tryggve
39837,619998,166.8023703,-77.74768006,Turtle Rock
39838,620001,166.5126917,-77.67094246,Little Razorback
39864,620152,166.6864989,-77.6571896,Turks Head Tryggve
39870,620179,166.8989298,-77.70388777,South Base
39886,620282,166.3968203,-77.69565958,Tent Island
39896,620330,166.5320036,-77.68468022,Big Razorback
39902,620373,166.3581965,-77.66269256,Inaccessible Island
39904,620385,166.9182417,-77.70114564,South Base
39909,620404,166.3581965,-77.6901711,Tent Island
39910,620405,166.4933798,-77.66544313,Little Razorback
39916,620440,166.4933798,-77.6901711,Big Razorback
39932,620511,166.3775084,-77.68742596,Tent Island
39933,620513,166.9182417,-77.69840291,South Base
39934,620514,166.3581965,-77.66544313,Inaccessible Island
39937,620526,166.4740679,-77.66544313,Little Razorback
39943,620544,166.3195727,-77.66269256,Inaccessible Island
39949,620561,166.3775084,-77.6571896,Inaccessible Island
39952,620571,166.9375537,-77.70114564,South Base
39962,620639,166.6864989,-77.65168424,Turks Head Tryggve
39970,620681,166.7637465,-77.73948072,Turtle Rock
39974,620694,166.454756,-77.68742596,Big Razorback
39975,620695,166.860306,-77.72306583,Hutton Cliffs
39979,620722,166.7444346,-77.66819309,Turks Head Tryggve
39981,620729,166.7637465,-77.65994138,Turks Head Tryggve
39982,620739,166.7058108,-77.66544313,Turks Head Tryggve
39985,620746,166.8989298,-77.71211055,South Base
39989,620758,166.5320036,-77.68742596,Big Razorback
39992,620773,166.8989298,-77.70937022,South Base
39995,620785,166.3388846,-77.68193387,Tent Island
40014,620856,166.860306,-77.73127598,Hutton Cliffs
40016,620867,166.4933798,-77.67918692,Big Razorback
40021,620890,166.3581965,-77.67918692,Tent Island
40023,620901,166.3388846,-77.67094246,Tent Island
40024,620905,166.4740679,-77.68193387,Big Razorback
40026,620916,166.3388846,-77.6571896,Inaccessible Island
40028,620925,166.5320036,-77.67643937,Big Razorback
40044,621006,166.7637465,-77.74768006,Turtle Rock
40046,621013,166.7251227,-77.6571896,Turks Head Tryggve
40047,621014,166.3775084,-77.66544313,Inaccessible Island
40050,621030,166.3775084,-77.69565958,Tent Island
40058,621073,166.7830584,-77.67094246,Turks Head Tryggve
40061,621111,166.7251227,-77.66269256,Turks Head Tryggve
40073,621157,166.5126917,-77.68742596,Big Razorback
40075,621161,166.3775084,-77.65443722,Inaccessible Island
40084,621193,166.3775084,-77.6901711,Tent Island
40099,621245,166.9182417,-77.70388777,South Base
40105,621265,166.3581965,-77.67094246,Tent Island
40110,621281,166.7637465,-77.74494754,Turtle Rock
40112,621308,166.3775084,-77.69291564,Tent Island
40117,621321,166.4933798,-77.66819309,Little Razorback
40119,621326,166.8023703,-77.66269256,Turks Head Tryggve
40128,621374,166.4933798,-77.68742596,Big Razorback
40130,621377,166.3775084,-77.67643937,Tent Island
40136,621388,166.7637465,-77.75041197,Turtle Rock
40146,621433,166.9375537,-77.69840291,South Base
40153,621464,166.4740679,-77.6901711,Big Razorback
40169,621538,166.3388846,-77.65994138,Inaccessible Island
40176,621576,166.3968203,-77.6901711,Tent Island
40186,621627,166.6864989,-77.65443722,Turks Head Tryggve
40187,621632,166.3775084,-77.65994138,Inaccessible Island
40189,621638,166.3388846,-77.67918692,Tent Island
40191,621645,166.4161322,-77.66544313,Little Razorback
40202,621690,166.3195727,-77.66819309,Inaccessible Island
40206,621712,166.7444346,-77.74221443,Turtle Rock
40209,621733,166.5126917,-77.67918692,Big Razorback
40213,621750,166.4740679,-77.67918692,Big Razorback
40218,621772,166.5126917,-77.68468022,Big Razorback
40219,621774,166.3968203,-77.68742596,Tent Island
40227,621829,166.4354441,-77.66269256,Little Razorback
40228,621832,166.3775084,-77.67918692,Tent Island
40241,621890,166.3581965,-77.68468022,Tent Island
40244,621896,166.8796179,-77.70114564,South Base
40245,621898,166.5126917,-77.66544313,Little Razorback
40249,621916,166.3581965,-77.6571896,Inaccessible Island
40257,621959,166.7830584,-77.74494754,Turtle Rock
40265,621979,166.3968203,-77.65994138,Inaccessible Island
40273,622004,166.8023703,-77.66819309,Turks Head Tryggve
40274,622006,166.4933798,-77.68468022,Big Razorback
40278,622025,166.8409941,-77.72306583,Hutton Cliffs
40279,622035,166.8409941,-77.73401149,Hutton Cliffs
42713,642523,166.3873047,-77.68597413,Tent Island
